stamp_time,count(tstep)
"2019-05-28 10:15:49",12
"2019-05-28 10:45:51",12
"2019-05-28 10:55:52",12
"2019-05-28 11:15:53",12
"2019-05-28 11:45:58",12
"2019-05-28 12:26:05",12
"2019-05-28 12:46:27",12
"2019-05-28 13:57:07",12
"2019-05-28 15:07:54",12
"2019-05-28 15:17:55",12
"2019-05-28 15:47:57",12
"2019-05-28 16:18:09",12
"2019-05-28 16:38:10",12
"2019-05-28 18:08:45",12
"2019-05-28 18:18:46",12
"2019-05-28 20:29:51",12
"2019-05-29 13:33:27",12
"2019-05-29 14:03:30",12
"2019-05-29 14:13:30",12
"2019-05-29 15:03:37",12
"2019-05-29 15:53:49",12
"2019-05-29 16:54:21",12
"2019-05-29 17:24:23",12
"2019-05-29 17:55:25",12
"2019-05-29 18:15:26",12
"2019-05-29 18:25:27",12
"2019-05-29 19:15:37",12
"2019-05-29 19:45:42",12
"2019-05-29 20:05:46",12
"2019-05-29 20:35:51",12
"2019-05-29 20:55:57",12
"2019-05-29 21:15:58",12
"2019-05-29 21:25:59",12
"2019-05-29 21:46:00",12
"2019-05-29 22:16:02",12
"2019-05-29 22:36:03",12
"2019-05-29 23:06:08",12
"2019-05-29 23:26:09",12
"2019-05-29 23:56:11",12
"2019-05-30 00:16:12",12
"2019-05-30 00:46:14",12
"2019-05-30 01:46:37",12
"2019-05-30 02:06:38",12
"2019-05-30 02:36:40",12
"2019-05-30 02:56:41",12
"2019-05-30 03:06:42",12
"2019-05-30 04:06:46",12
"2019-05-30 04:26:47",12
"2019-05-30 04:46:48",12
"2019-05-30 04:56:49",12
"2019-05-30 05:16:58",12
"2019-05-30 05:36:59",12
"2019-05-30 05:47:00",12
"2019-05-30 06:07:01",12
"2019-05-30 06:27:02",12
"2019-05-30 06:57:12",12
"2019-05-30 07:17:13",12
"2019-05-30 07:27:14",12
"2019-05-30 07:47:21",12
"2019-05-30 08:07:22",12
"2019-05-30 08:37:27",12
"2019-05-30 08:57:28",12
"2019-05-30 09:27:33",12
"2019-05-30 09:47:34",12
"2019-05-30 09:57:36",12
"2019-05-30 10:48:03",12
"2019-05-30 10:58:04",12
"2019-05-30 11:38:13",12
"2019-05-30 16:10:08",12
"2019-05-30 16:50:11",12
"2019-05-30 17:40:25",12
"2019-05-30 18:40:35",12
"2019-05-30 19:20:45",12
"2019-05-30 19:50:47",12
"2019-05-30 20:10:48",12
"2019-05-30 20:40:50",12
"2019-05-30 21:10:52",12
"2019-05-30 21:31:02",12
"2019-05-30 21:41:03",12
"2019-05-30 23:01:41",12
"2019-05-31 00:12:05",12
"2019-05-31 01:02:18",12
"2019-05-31 01:22:22",12
"2019-05-31 01:42:23",12
"2019-05-31 01:52:24",12
"2019-05-31 02:12:30",12
"2019-05-31 02:32:31",12
"2019-05-31 02:42:32",12
"2019-05-31 03:02:33",12
"2019-05-31 03:12:34",12
"2019-05-31 03:32:35",12
"2019-05-31 03:52:36",12
"2019-05-31 04:02:37",12
"2019-05-31 04:22:38",12
"2019-05-31 04:42:42",12
"2019-05-31 04:52:43",12
"2019-05-31 05:12:44",12
"2019-05-31 05:42:46",12
"2019-05-31 06:02:47",12
"2019-05-31 06:12:48",12
"2019-05-31 06:32:49",12
"2019-05-31 06:52:50",12
"2019-05-31 07:02:51",12
"2019-05-31 07:52:59",12
"2019-05-31 08:13:00",12
"2019-05-31 08:23:01",12
"2019-05-31 08:43:02",12
"2019-05-31 08:53:03",12
"2019-05-31 09:43:09",12
"2019-05-31 10:53:37",12
"2019-05-31 11:23:39",12
"2019-05-31 11:53:41",12
"2019-05-31 12:23:43",12
"2019-05-31 12:53:45",12
"2019-05-31 13:03:46",12
"2019-05-31 14:04:03",12
"2019-05-31 15:24:36",12
"2019-05-31 15:54:38",12
"2019-05-31 16:34:41",12
"2019-05-31 16:44:42",12
"2019-05-31 17:04:44",12
"2019-05-31 17:14:45",12
"2019-05-31 17:54:49",12
"2019-05-31 18:04:50",12
"2019-05-31 18:54:56",12
"2019-05-31 19:24:58",12
"2019-05-31 19:44:59",12
"2019-05-31 19:55:00",12
"2019-05-31 20:15:01",12
"2019-05-31 20:35:02",12
"2019-05-31 20:55:03",12
"2019-05-31 21:05:04",12
"2019-05-31 21:25:05",12
"2019-05-31 21:45:06",12
"2019-05-31 22:15:08",12
"2019-05-31 22:55:13",12
"2019-05-31 23:25:15",12
"2019-05-31 23:45:16",12
"2019-06-01 00:05:17",12
"2019-06-01 00:35:22",12
"2019-06-01 00:55:23",12
"2019-06-01 01:25:25",12
"2019-06-01 01:45:26",12
"2019-06-01 01:55:27",12
"2019-06-01 02:15:28",12
"2019-06-01 02:35:29",12
"2019-06-01 02:55:30",12
"2019-06-01 03:05:31",12
"2019-06-01 03:25:32",12
"2019-06-01 03:45:33",12
"2019-06-01 04:05:34",12
"2019-06-01 04:15:35",12
"2019-06-01 04:35:36",12
"2019-06-01 04:55:37",12
"2019-06-01 05:25:39",12
"2019-06-01 05:45:40",12
"2019-06-01 06:05:41",12
"2019-06-01 06:35:43",12
"2019-06-01 06:55:44",12
"2019-06-01 07:15:45",12
"2019-06-01 07:25:46",12
"2019-06-01 07:45:47",12
"2019-06-01 08:05:48",12
"2019-06-01 08:25:49",12
"2019-06-01 08:55:51",12
"2019-06-01 09:15:52",12
"2019-06-01 09:35:53",12
